,dt,from_time,to_time,jaggedness,area,score
103,2022/06/12,00:00:00,23:59:59,50.888112234050375,0.276946617631043,0.0054422655011700715
237,2022/10/24,00:00:00,23:59:59,37.66715593110066,0.2038794223308907,0.005412657719733851
186,2022/09/03,00:00:00,23:59:59,23.935624005026547,0.1288197312764273,0.005381924918664113
19,2022/03/20,00:00:00,23:59:59,47.24239196085945,0.2537785264086113,0.005371839059691729
212,2022/09/29,00:00:00,23:59:59,14.824895637535452,0.0795862758822586,0.00536842065051389
86,2022/05/26,00:00:00,23:59:59,18.10232748820147,0.0956542795731922,0.005284087343770388
26,2022/03/27,00:00:00,23:59:59,45.03804421189709,0.2376456639086522,0.005276553812829123
56,2022/04/26,00:00:00,23:59:59,13.558839359722736,0.070589894358113,0.005206190034805197
108,2022/06/17,00:00:00,23:59:59,42.4672203178354,0.2192932048337003,0.005163822901344957
209,2022/09/26,00:00:00,23:59:59,27.31173261597579,0.140265293263041,0.00513571567338038
72,2022/05/12,00:00:00,23:59:59,14.285993572591384,0.0725894139512509,0.00508115963950302
31,2022/04/01,00:00:00,23:59:59,54.93075905099371,0.2782230380285885,0.005064977124570708
91,2022/05/31,00:00:00,23:59:59,52.97428699993098,0.2655702202687751,0.005013191027358633
36,2022/04/06,00:00:00,23:59:59,58.39970320809967,0.2853949793834868,0.004886925167522158
61,2022/05/01,00:00:00,23:59:59,53.07649988342998,0.2581581785598353,0.004863888521790601
219,2022/10/06,00:00:00,23:59:59,19.52402401781282,0.093468701972923,0.004787368725199603
97,2022/06/06,00:00:00,23:59:59,24.13833357288228,0.1144131908461817,0.004739896004035543
88,2022/05/28,00:00:00,23:59:59,57.68622154787254,0.2727673288886248,0.004728465854922759
236,2022/10/23,00:00:00,23:59:59,44.696583184068224,0.2042724041392697,0.004570201782495112
193,2022/09/10,00:00:00,23:59:59,27.083114576093383,0.1233884231223807,0.004555917037374175
218,2022/10/05,00:00:00,23:59:59,24.011759786625053,0.1068437309583518,0.0044496418383239665
185,2022/09/02,00:00:00,23:59:59,34.94686686434152,0.1547429404449072,0.004427948892975041
57,2022/04/27,00:00:00,23:59:59,25.33754093049985,0.1110536862799846,0.004382970177911175
66,2022/05/06,00:00:00,23:59:59,55.11734623829692,0.2408847826019537,0.004370398777192595
32,2022/04/02,00:00:00,23:59:59,57.480525532941954,0.2435793390761784,0.0042375976353344865
81,2022/05/21,00:00:00,23:59:59,35.4927350226182,0.1499991538660719,0.004226193156725821
70,2022/05/10,00:00:00,23:59:59,53.963268966723774,0.2278138968551041,0.004221647450520179
27,2022/03/28,00:00:00,23:59:59,35.00481876004465,0.1467373090475689,0.004191917405813237
205,2022/09/22,00:00:00,23:59:59,50.646763890400806,0.2112468687023394,0.004170984530412959
33,2022/04/03,00:00:00,23:59:59,69.67394643639682,0.2878274667923224,0.0041310630660927345
96,2022/06/05,00:00:00,23:59:59,10.78364150839286,0.0444293070504452,0.004120065287395364
211,2022/09/28,00:00:00,23:59:59,41.14150622787504,0.1670244959376796,0.004059756466196508
28,2022/03/29,00:00:00,23:59:59,35.26927598516548,0.1431317370921461,0.004058255608999414
